time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.52154189909e-08,9.90233561468e-08,0.00494235428749,6.28274640742,6.2830476908,0.0,1.00199254083e-05,-1.34165088868e-05,0.164734934574,-0.0289100814236,-0.00732876332379,0.0,458.257550828786,457.67477280167793,457.1415330636544,454.83252158093194
0.12000000000000001,5.13405285676e-06,-1.65645821897e-05,0.0180812879167,6.28105677571,6.28215087693,0.0,0.000219160353496,-0.00071878479498,0.273208896162,-0.0267022779823,-0.0380434202875,0.0,441.5292969923059,438.9884191444184,438.88987755765754,439.07282587949067
0.18,4.66345969478e-05,-0.000107432846341,0.0364652578646,6.27922916012,6.28014750169,0.0,0.00137080662269,-0.00247522271704,0.339571379119,-0.0392964343886,-0.0254130853908,0.0,426.0767907499124,427.1545256305192,426.29404293524954,425.216308115561
0.23999999999999996,0.000200703349011,-0.000350956094939,0.0607890916559,6.2766887716,6.27833083147,0.0,0.0039403473083,-0.00590242775591,0.471175500512,-0.0492503147934,-0.0424137791765,0.0,447.67485601936846,446.28926115000604,447.34516929436177,446.5330403674797
0.3,0.000573061470338,-0.000883965538575,0.0969392132788,6.27436249614,6.27585324531,0.0,0.00878737474562,-0.0121895030014,0.733692816144,-0.0233904591375,-0.0391415666699,0.0,486.225090168612,486.4693902402297,484.7175776693228,486.6560239825333
0.36000000000000004,0.00130080605715,-0.00184963173247,0.149124676838,6.2731562148,6.27308718737,0.0,0.0157874819169,-0.0201629711243,1.00561930249,-0.0142325455697,-0.0660458488204,0.0,489.696309481068,487.6899283592201,488.9954011902859,489.67708923464016
0.4200000000000001,0.00248866666972,-0.0032851360847,0.214018154834,6.27275963027,6.26872201356,0.0,0.0242569911135,-0.0277507459485,1.15734905525,0.0054182477792,-0.0915983498551,0.0,455.22800248958987,453.17467468054696,453.1490183270219,454.7258162512673
0.48000000000000015,0.00425209257399,-0.00515571417702,0.285691700085,6.27363166457,6.26315646575,0.0,0.0350657061935,-0.0345379228645,1.23168317422,0.0283735881759,-0.0951861993288,0.0,429.7584890979635,429.4467040707296,429.57823440204106,431.52010173085245
0.5400000000000001,0.00671724097149,-0.00738628649363,0.35907248991,6.2754136016,6.2577146932,0.0,0.0475771940613,-0.0396670869953,1.21435249936,0.0322255685537,-0.0829664942461,0.0,398.5791956005125,399.68629790850696,399.8195784165698,400.170715877128
0.6000000000000002,0.0100291957478,-0.00989441919198,0.431603122311,6.27775354538,6.25286384853,0.0,0.0632417925835,-0.043752352296,1.20333638962,0.0499307718916,-0.076916799703,0.0,400.89158149144873,401.4347866743971,401.5031893959886,403.1070464383939
0.6600000000000003,0.014501182533,-0.0126256546529,0.507866972396,6.28057517847,6.24802886539,0.0,0.0863248929137,-0.0469754549872,1.33862747137,0.0404774401373,-0.0891594408243,0.0,449.8711021960358,448.8735698621677,450.05497696723995,449.29055542275404
0.7200000000000003,0.0204013992623,-0.0154874051595,0.590460186246,6.28286215164,6.24274883354,0.0,0.110868342265,-0.0481835816709,1.41436858316,0.0329189361831,-0.0857794779013,0.0,430.5748997785597,430.85401626634996,431.7721403196848,431.13479667998985
0.7800000000000004,0.0279823964744,-0.0183771678838,0.68009530605,0.00198352064095,6.23736154164,0.0,0.14240398302,-0.0479029105966,1.57323686811,0.0476782375403,-0.0993291685774,0.0,457.76133214436817,456.6753321308451,456.9220463826669,458.09772353383823
0.8400000000000004,0.0376969779882,-0.0211888819023,0.781758954906,0.00475471179637,6.23146092078,0.0,0.182127432403,-0.0454754062203,1.81516012329,0.0430234997144,-0.0964435932421,0.0,482.2259882389691,482.4364192900392,482.7759166102661,482.425679046004
0.9000000000000005,0.049577344171,-0.0238231807585,0.891046471888,0.00728471853282,6.2257515733,0.0,0.214394545167,-0.0421072178803,1.82770490893,0.0403963250035,-0.0926989415239,0.0,411.8287311028818,412.15130915665077,411.86335626733177,411.6320647678593
0.9600000000000005,0.0636361330297,-0.0261917770436,1.00348796039,0.00946960266142,6.2206735664,0.0,0.254754563729,-0.0366134782016,1.92015544098,0.0269460171381,-0.0720610782942,0.0,437.4773567751238,439.18610527197126,438.6051127221992,437.48730188179127
1.0200000000000005,0.0802310771455,-0.0281865795446,1.121711666,0.011266989278,6.21651788246,0.0,0.298829352888,-0.0297071316054,2.02042729032,0.0353831164673,-0.0641821257806,0.0,440.74438648584027,441.3913456915844,440.7380136027124,441.43503257043733
1.0800000000000005,0.0996838266927,-0.0297056064574,1.24786960096,0.0134936702875,6.21299114044,0.0,0.349981943317,-0.0206883288521,2.18449943349,0.0403605782591,-0.049719983817,0.0,460.1699327131199,461.3109108636335,461.5582267454079,461.95144913475093
1.1400000000000006,0.121963714966,-0.030694693227,1.37938012722,0.0158583445299,6.21005908809,0.0,0.392939878362,-0.0120680099237,2.19912782994,0.0374420875582,-0.0472155008089,0.0,414.4228164041635,414.6412228711777,414.27108970533067,414.0153015769083
1.2000000000000006,0.147219317062,-0.0310479186377,1.51646177316,0.0180959036876,6.207545978,0.0,0.449182845421,0.000539970825534,2.36988499054,0.0369921672175,-0.0329282449929,0.0,464.07251865992043,465.1916638985829,463.5823302125542,463.5475671797747
1.2600000000000007,0.175891052628,-0.030595678332,1.6636542581,0.0207453200597,6.20664577195,0.0,0.506654830138,0.0148031377227,2.53614919146,0.0555980634535,0.00733480673997,0.0,462.04684594851625,465.2100918446823,462.68036302642963,464.1438195242084
